rest_index,rest_name,locality,cost_for_two,rating,votes,cuisines
40,Toast & Tonic,Richmond Road,"1,500",4.6,1103,"['European', 'Asian']"
41,Yauatcha,"1 MG Road Mall, MG Road","2,800",4.6,2388,"['Chinese', 'Asian', 'Cantonese', 'Tea']"
42,The Blue Wagon - Kitchen,Jayanagar,400,4.6,254,"['Cafe', 'Beverages']"
43,BelgYum,"Phoenix Market City Mall, Whitefield",400,4.6,1822,['Desserts']
44,Sea Lions BBQ & Grills,Jayanagar,"1,100",4.6,591,"['North Indian', 'Chinese', 'Mughlai', 'Mexican', 'BBQ']"
45,Namma SLN,Basavanagudi,100,4.6,113,['South Indian']
46,Via Milano,Sarjapur Road,"1,500",4.6,161,"['Italian', 'Pizza', 'Salad', 'Desserts']"
47,Monet's Bistro,Indiranagar,600,4.6,230,"['Cafe', 'Beverages']"
48,Big Pitcher,Old Airport Road,"1,800",4.6,9469,"['American', 'Continental', 'North Indian', 'Mediterranean']"
49,Communiti,Residency Road,"1,500",4.6,4108,"['Continental', 'BBQ', 'Salad']"
50,Koramangala Social,Koramangala 7th Block,"1,500",4.6,4876,"['American', 'North Indian', 'Chinese', 'Asian', 'Biryani', 'Beverages']"
51,Levitate Brewery and Kitchen,JP Nagar,"1,500",4.6,695,"['Finger Food', 'North Indian', 'Continental']"
52,The London Curry House - The Royale Senate Hotel,Race Course Road,"1,300",4.6,4120,"['Pizza', 'North Indian', 'Modern Indian']"
53,Windmills Craftworks,Windmills Craftworks,"2,500",4.6,5977,"['American', 'North Indian', 'Salad']"
54,XOOX Brewmill,Koramangala 5th Block,"2,000",4.6,1704,"['Modern Indian', 'European', 'Asian']"
55,Stories,Rajajinagar,"1,100",4.6,2539,"['Continental', 'North Indian', 'Chinese']"
56,The Fatty Bao - Asian Gastro Bar,Indiranagar,"1,200",4.6,3861,"['Japanese', 'Sushi', 'Asian']"
57,HOMMS,Marathahalli,300,4.6,246,"['Momos', 'Chinese', 'Fast Food']"
58,Tipsy Bull - The Bar Exchange,Indiranagar,"1,400",4.6,3225,"['Chinese', 'Continental', 'North Indian', 'Mexican']"
59,Toscano,"Forum Mall, Koramangala","1,500",4.5,758,"['Italian', 'Salad']"
60,Hunger Camp,JP Nagar,"1,300",4.5,386,"['North Indian', 'South Indian', 'Chinese', 'Seafood']"
61,The Hole in the Wall Cafe,Koramangala 4th Block,600,4.5,7189,"['Cafe', 'American', 'Burger']"
62,The Pallet,Whitefield,"1,600",4.5,2869,"['Continental', 'Mediterranean', 'Italian', 'North Indian', 'Finger Food', 'Asian', 'Momos']"
63,Nakkshatra,Marathahalli,900,4.5,453,"['North Indian', 'Chinese']"
64,Chikkanna Tiffin Room,City Market,200,4.5,209,['South Indian']
65,Sultans of Spice,"BluPetal Hotel, Koramangala","1,300",4.5,3497,"['North Indian', 'Mughlai', 'Salad']"
66,99 Pancakes,Koramangala 5th Block,300,4.5,360,"['Desserts', 'Beverages', 'Cafe', 'Ice Cream']"
67,Dhuaan,Koramangala 5th Block,800,4.5,180,"['Cafe', 'Continental']"
68,Apsara Ice Cream,Indiranagar,200,4.5,215,"['Ice Cream', 'Desserts']"
69,Opus Food Stories,"OPUS, Sarjapur Road","1,800",4.5,206,"['Goan', 'Asian', 'North Indian', 'European', 'Continental']"
70,The Permit Room,Brigade Road,"1,500",4.5,1637,['South Indian']
71,Pin Me Down,Koramangala 7th Block,800,4.5,855,"['Continental', 'Mexican', 'Chinese', 'North Indian']"
72,The Reservoire,Koramangala 5th Block,"1,300",4.5,2690,"['Continental', 'North Indian', 'Chinese', 'American']"
73,Republic Of Noodles - Lemon Tree Premier,"Lemon Tree Premier, Ulsoor","1,800",4.5,564,"['Malaysian', 'Singaporean', 'Thai']"
74,The Terrace at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block","1,400",4.5,1000,"['Continental', 'Finger Food', 'Asian', 'North Indian']"
75,ANTIGRAVITY,Marathahalli,"1,500",4.5,876,"['Continental', 'North Indian', 'Chinese', 'BBQ']"
76,Sanchez Taqueria & Cantina,Indiranagar,800,4.5,95,"['Mexican', 'Tex-Mex']"
77,Shakes Theory,Jayanagar,300,4.5,159,"['Beverages', 'Sandwich']"
